,Year,Month,Prison Facility,Total,Serving Sentence,Detainees,Illegal Combatants,Legal Proceedings,Admin Detainees
661,2005,March,IDF,,,,,,
662,2005,March,IPS,"4,627",3027,54,1512,34,
663,2005,Feb.,IDF,,,,,,
664,2005,Feb.,IPS,"4,568",2785,41,1697,45,
665,2005,Jan.,IDF,4340,1994,266,1232,848,
666,2005,Jan.,IPS,"3,706",2169,42,1464,31,
668,2004,Dec.,IDF,4375,1977,247,1315,836,
669,2004,Dec.,IPS,"3,412",1913,1520,0,27,
670,2004,Nov.,IDF,,,,,831,
671,2004,Nov.,IPS,"3,286","1,785",1509,0,27,
672,2004,Oct.,IDF,,,,,,
673,2004,Oct.,IPS,"3,243","1,734",1547,0,23,
674,2004,Sept.,IDF,4036,1864,220,1192,760,
675,2004,Sept.,IPS,"3,300",1698,1581,0,21,
676,2004,August,IDF,3997,1806,284,1176,731,
677,2004,August,IPS,"3,290",1647,1623,0,20,
678,2004,July,IDF,3943,1712,229,1265,737,
679,2004,July,IPS,"3,034",1546,1465,0,23,
680,2004,June,IDF,3961,1661,261,1316,723,
681,2004,June,IPS,"2,866",1546,1374,0,24,
682,2004,May,IDF,3939,1537,275,1457,670,
683,2004,May,IPS,"2,687",1362,1292,0,33,
684,2004,April,IDF,3684,1386,277,1403,618,
685,2004,April,IPS,"2,667",1393,1248,0,26,
686,2004,March,IDF,3534,1312,220,1397,605,
687,2004,March,IPS,"2,641",1333,1283,0,25,
688,2004,Feb.,IDF,3334,1188,223,1307,606,
689,2004,Feb.,IPS,"2,568",1319,1227,0,22,
690,2004,Jan.,IDF,3570,1431,233,1268,638,
691,2004,Jan.,IPS,"2,532",1288,1225,0,19,
693,2003,Dec.,IDF,3465,1310,280,1244,631,
694,2003,Dec.,IPS,"2,479",1211,1250,0,18,
695,2003,Nov.,IDF,3321,1265,203,1191,695,
696,2003,Nov.,IPS,"2,371",1196,1155,0,20,
697,2003,Oct.,IDF,3150,1215,232,1164,539,
698,2003,Oct.,IPS,"2,323",1089,1220,0,14,
699,2003,Sept.,IDF,3053,1140,209,1189,515,
700,2003,Sept.,IPS,"2,225",1059,1153,0,13,
701,2003,August,IDF,3256,1159,195,1215,687,
702,2003,August,IPS,"2,194",1003,1178,0,13,
703,2003,July,IDF,3452,1083,377,1229,763,
704,2003,July,IPS,"2,027",925,1080,0,22,
705,2003,June,IDF,3371,987,275,1177,932,
706,2003,June,IPS,"1,974",860,1094,0,20,
707,2003,May,IDF,3351,881,224,1158,1088,
708,2003,May,IPS,"2,011",809,1183,0,19,
709,2003,April,IDF,3390,856,337,1078,1119,
710,2003,April,IPS,"1,882",743,1118,0,21,
711,2003,March,IDF,3316,810,306,1092,1108,
712,2003,March,IPS,"1,696",686,991,0,19,
713,2003,Feb.,IDF,3243,805,267,1083,1088,
714,2003,Feb.,IPS,"1,572",652,901,0,19,
715,2003,Jan.,IDF,3234,738,364,1125,1007,
716,2003,Jan.,IPS,"1,462",600,851,0,11,
718,2002,Dec.,IDF,3076,670,388,1069,949,
719,2002,Dec.,IPS,"1,435",588,836,0,11,
720,2002,Nov.,IDF,2909,597,299,1068,927,
721,2002,Nov.,IPS,"1,361",568,784,0,9,
722,2002,Oct.,IDF,2755,570,245,1069,871,
723,2002,Oct.,IPS,"1,306",556,743,0,7,
724,2002,Sept.,IDF,2689,514,262,1056,857,
725,2002,Sept.,IPS,"1,330",567,689,16,10,
726,2002,August,IDF,2644,476,315,1045,808,
727,2002,August,IPS,"1,176",561,610,0,5,
728,2002,July,IDF,2773,447,737,651,938,
729,2002,July,IPS,"1,140",575,560,0,5,
730,2002,June,IDF,2411,357,208,917,929,
731,2002,June,IPS,,607,,,,
732,2002,May,IDF,2368,388,557,742,681,
733,2002,May,IPS,,,,,,
734,2002,April,IDF,2682,546,2025,111,,
735,2002,April,IPS,,,,,,
736,2002,March,IDF,1136,442,15,659,40,
737,2002,March,IPS,"1,314",863,447,0,4,
738,2002,Jan.,IDF,1078,320,15,707,36,
739,2002,Jan.,IPS,891,589,,302,0,
741,2001,Dec.,IDF,1023,314,13,662,34,
742,2001,Dec.,IPS,831,575,,256,0,
743,2001,Nov.,IDF,975,259,15,670,31,
744,2001,Nov.,IPS,823,573,,250,0,
745,2001,Oct.,IDF,964,292,12,634,26,
746,2001,Oct.,IPS,816,577,,238,1,
747,2001,Sept.,IDF,,,,,,
748,2001,Sept.,IPS,,,,,,
749,2001,August,IDF,896,304,21,555,16,
750,2001,August,IPS,773,572,,199,1,
751,2001,July,IDF,849,284,21,535,9,
752,2001,July,IPS,813,582,45,184,1,
753,2001,June,IDF,823,291,16,504,12,
754,2001,June,IPS,748,574,39,174,1,
755,2001,May,IDF,820,302,12,495,11,
756,2001,May,IPS,725,574,44,151,1,
757,2001,April,IDF,812,279,16,506,11,
758,2001,April,IPS,757,572,42,142,1,
759,2001,March,IDF,787,248,12,513,14,
760,2001,March,IPS,751,74,44,132,1,
761,2001,Feb.,IDF,761,223,8,514,16,
762,2001,Feb.,IPS,747,557,41,129,0,
763,2001,Jan.,IDF,719,202,5,496,16,
764,2001,Jan.,IPS,737,571,37,131,0,
